,Region,Latitude,Longitude
0,Ain,49.453285449999996,3.606899003594057
1,Aisne,49.453285449999996,3.606899003594057
2,Allier,46.36746405,3.163882848311948
3,Alpes-Maritimes,43.9210587,7.1790785
4,Alpes-de-Haute-Provence,44.1640832,6.187851538609079
5,Ardennes,49.69801175,4.671600518245179
6,Ardèche,44.815194000000005,4.3986524702343965
7,Ariège,42.9455368,1.4065544156065486
8,Aube,48.3201921,4.1905396615047525
9,Aude,43.0542733,2.512471457499548
10,Auvergne Rhône-Alpes,45.2968119,4.6604809
11,Auvergne-Rhône-Alpes,45.2968119,4.6604809
12,Aveyron,44.315857449999996,2.5065697302419823
13,Bas-Rhin,48.5991783,7.533818624332648
14,Bouches-du-Rhône,0.0,0.0
15,Bourgogne-Franche-Comté,47.0510946,5.0740568
16,Bretagne,48.2640845,-2.9202408
17,Calvados,49.09076485,-0.2413950572279802
18,Cantal,45.0497701,2.699717567737356
19,Centre Val de Loire,47.5490251,1.7324062
20,Centre-Val de Loire,47.5490251,1.7324062
21,Charente,45.6667902,0.09730504409848517
22,Charente-Maritime,45.73022675,-0.7212875872563794
23,Cher,47.024882399999996,2.5753333606655704
24,Corrèze,45.342904700000005,1.8176424406120555
25,Corse,42.188089649999995,9.068413771427695
26,Corse du Sud,41.87340825,9.0087052196875
27,Corse-du-Sud,41.87340825,9.0087052196875
28,Creuse,46.0593485,2.0489010125109104
29,Côte-d'Or,47.465503350000006,4.74812234575117
30,Côtes-d'Armor,48.458422150000004,-2.7505868346107736
31,Deux-Sèvres,46.53914,-0.29953332648036757
32,Dordogne,45.14291985,0.6321258058651044
33,Doubs,47.06699155,6.235622772820445
34,Drôme,44.72964575,5.204559599996514
35,Essone,0.0,0.0
36,Eure,49.0756358,0.9652025944774796
37,Eure-et-Loir,48.4474102,1.3998820185020766
38,Finistère,48.2452998,-4.044030225720155
39,France,46.603354,1.8883335
40,Gard,43.95995,4.297637002377168
41,Gers,43.695527600000005,0.4101019175237992
42,Gironde,44.883745950000005,-0.6051264440438711
43,Grand Est,48.4845157,6.113035
44,Grand-Est,48.4845157,6.113035
45,Guadeloupe,16.2490067,-61.5650444
46,Guyane,4.8417097,-58.6416891
47,Haut-Rhin,47.8654746,7.231543347579764
48,Haute-Corse,42.42196975,9.100906549656115
49,Haute-Garonne,43.305454600000004,0.9716791701901577
50,Haute-Loire,45.085724850000005,3.833826117673291
51,Haute-Marne,48.1329414,5.252910789751933
52,Haute-Pyrénées,42.6982487,0.4969969
53,Haute-Savoie,46.068820849999994,6.344536991587102
54,Haute-Saône,47.63842335,6.095114088932768
55,Haute-Vienne,45.91901925,1.203176771876291
56,Hautes-Alpes,44.6564666,6.352024584507948
57,Hautes-Pyrénées,43.1437925,0.15866611287926924
58,Hauts-de-France,50.1024606,2.7247515
59,Hauts-de-Seine,48.840185899999994,2.198641221906077
60,Hérault,43.591422,3.3553309364095925
61,Ile-de-France,48.6443057,2.7537863
62,Ille-et-Vilaine,48.17276805,-1.6498092420681134
63,Indre,46.81210565,1.5382051557056249
64,Indre-et-Loire,47.2232046,0.6866702523286876
65,Isère,45.28979315,5.634382477386232
66,Jura,46.783362499999996,5.783285726354901
67,La Réunion,-21.1309332,55.5265771
68,Landes,44.00996945,-0.6433872354467377
69,Loir-et-Cher,47.65977515,1.297183525390464
70,Loire,45.75385355,4.045473682551104
71,Loire-Atlantique,47.34816145,-1.8727461214619257
72,Loiret,47.9140388,2.3073794620675887
73,Lot,44.624991800000004,1.6657742169753669
74,Lot-et-Garonne,44.3691703,0.45391575832487524
75,Lozère,44.5425706,3.521114648333333
76,Maine-et-Loire,47.38863045,-0.3909097146387368
77,Manche,49.091895199999996,-1.2454370607545526
78,Marne,48.961264,4.31224359285714
79,Martinique,14.6113732,-60.9620777
80,Mayenne,48.1507819,-0.6491273812007092
81,Mayotte,-12.823048,45.1520755
82,Meurthe-et-Moselle,48.95596825,5.987038299756556
83,Meuse,26.2540493,29.2675469
84,Monde,48.83084605,2.3465592290918913
85,Morbihan,47.825981150000004,-2.7633492695588253
86,Moselle,49.0207259,6.538035170357949
87,Nièvre,47.11969705,3.5448897947227174
88,Nord,13.4526455,-2.227736
89,Normandie,49.0677708,0.3138532
90,Nouvelle-Aquitaine,45.4039367,0.3756199
91,Occitanie,43.6487851,2.3435684
92,Oise,49.41205455,2.406487846905477
93,Orne,48.57605325,0.04466171759588161
94,Paris,48.8566969,2.3514616
95,Pas-de-Calais,50.5144061,2.258007849773996
96,Pays de la Loire,47.6594864,-0.8186143
97,Provence-Alpes-Côte d’Azur,44.0580563,6.0638506
98,Puy-de-Dôme,45.7715343,3.0839934206717934
99,Pyrénées-Atlantiques,43.18718655,-0.728247400084667
100,Pyrénées-Orientales,42.625894,2.5065089946931507
101,Rhône,45.8802348,4.564533629559522
102,Saint-Barthélémy,17.9036287,-62.811568843006896
103,Saint-Barthélemy,17.9036287,-62.811568843006896
104,Saint-Martin,48.5683066,6.7539988
105,Sarthe,48.026928749999996,0.2538217482247317
106,Savoie,45.494895150000005,6.384660381375652
107,Saône-et-Loire,46.6557086,4.55855481835173
108,Seine-Maritime,49.66323745,0.9401133910609153
109,Seine-Saint-Denis,48.9098125,2.4528634784461856
110,Seine-et-Marne,48.61902069999999,3.0418157506708345
111,Somme,49.96897145,2.373858954610659
112,Tarn,43.7921741,2.133964772269535
113,Tarn-et-Garonne,44.080656000000005,1.2050632958700225
114,Territoire de Belfort,47.62923095,6.899301156710882
115,Territoire-de-Belfort,47.62923095,6.899301156710882
116,Val-d'Oise,49.07507045,2.209811443668384
117,Val-de-Marne,48.774489349999996,2.4543321444588204
118,Var,43.4173592,6.2664597079542705
119,Vaucluse,43.993864349999996,5.1818898389002355
120,Vendee,46.67577325,-1.29144634801388
121,Vendée,46.67577325,-1.29144634801388
122,Vienne,48.2083537,16.3725042
123,Vosges,48.16378605,6.382071173595532
124,Yonne,47.85512575,3.6450439257238765
125,Yvelines,48.761836,1.8882469118118461
